event_id,commence_time,home,away,bookmaker_key,bookmaker,book_last_update,market,outcome_name,outcome_price,outcome_point,date
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betmgm,BetMGM,,spreads,Montréal Canadiens,-200,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betmgm,BetMGM,,totals,Over,-115,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betmgm,BetMGM,,totals,Under,-105,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,williamhill_us,Caesars,,h2h,Carolina Hurricanes,-150,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,williamhill_us,Caesars,,h2h,Montréal Canadiens,126,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,williamhill_us,Caesars,,spreads,Carolina Hurricanes,175,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,williamhill_us,Caesars,,spreads,Montréal Canadiens,-210,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,williamhill_us,Caesars,,totals,Over,-115,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,williamhill_us,Caesars,,totals,Under,-105,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,lowvig,LowVig.ag,,h2h,Carolina Hurricanes,-148,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,lowvig,LowVig.ag,,h2h,Montréal Canadiens,130,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,lowvig,LowVig.ag,,spreads,Carolina Hurricanes,177,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,lowvig,LowVig.ag,,spreads,Montréal Canadiens,-205,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,lowvig,LowVig.ag,,totals,Over,-110,5.5,2026-05-28
