date,game_id,game_id_raw,home_tri,away_tri,side,team_tri,opp_tri,player_id,player_name,sim_min,sim_pts,sim_reb,sim_ast,sim_3pm,sim_pra,sim_stl,sim_blk,sim_tov,actual_min,actual_pts,actual_reb,actual_ast,actual_3pm,actual_3pa,actual_fgm,actual_fga,actual_ftm,actual_fta,actual_2pm,actual_2pa,actual_stl,actual_blk,actual_tov,actual_pf,actual_oreb,actual_dreb,actual_pm,actual_pra,err_min,err_pts,err_reb,err_ast,err_3pm,err_pra,err_stl,err_blk,err_tov,abs_err_pts,abs_err_pra,missing_actual
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,5214637,Noah Penda,3.194912182803625,0.666,0.578,0.468,0.092,1.712,0.08,0.0,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,3150844,Moritz Wagner,2.52930547805287,0.928,0.928,0.216,0.064,2.072,0.004,0.046,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4593034,Alex Morales,2.1983340707364394,0.756,0.134,0.102,0.068,0.992,0.004,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500201,52500201,ORL,CHA,home,ORL,CHA,4397204,Colin Castleton,2.1372692354382052,0.436,0.674,0.052,0.006,1.162,0.072,0.046,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4709138,Brandin Podziemski,27.46853955453157,15.216,4.936,2.184,2.466,22.336,0.886,0.268,1.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,3975,Stephen Curry,26.151734050987944,18.578,4.28,2.212,3.35,25.07,0.898,0.328,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,6589,Draymond Green,21.04442956005192,6.958,4.442,3.37,1.072,14.77,0.812,0.508,1.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,3102531,Kristaps Porzingis,20.278184632794606,10.814,5.144,1.78,1.58,17.738,0.458,0.398,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4066436,De'Anthony Melton,19.939891592206898,7.662,3.778,2.094,1.224,13.534,0.92,0.358,0.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4592714,Pat Spencer,18.273857728694445,7.798,3.352,2.336,1.176,13.486,0.514,0.152,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4997536,Gui Santos,17.46668041222449,8.54,4.284,1.95,1.172,14.774,0.628,0.044,1.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4433149,LJ Cryer,17.256238479547086,9.282,1.896,1.46,1.6,12.638,0.258,0.036,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,3134903,Gary Payton II,16.490229844601338,6.248,4.008,1.288,0.434,11.544,0.812,0.23,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4397821,Nate Williams,16.330293975766516,7.83,3.026,1.094,1.202,11.95,0.398,0.046,0.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,3213,Al Horford,12.95480537562096,8.122,2.356,0.964,1.554,11.442,0.08,0.214,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4897449,Malevy Leons,12.668604347179691,3.758,2.6,1.378,0.422,7.736,0.582,0.252,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,2326307,Seth Curry,7.759326334551676,4.36,0.952,0.458,0.784,5.77,0.12,0.008,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2026-04-17,0052500211,52500211,PHX,GSW,away,GSW,PHX,4897262,Will Richard,5.917184111240844,1.128,1.046,0.454,0.158,2.628,0.16,0.09,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
