league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,292223,Gonzalo Crettaz,NEC Nijmegen,Goalkeeper,True,31,31,2790.0,0.0,0.0,0.0,,0.9118,espn_true_per90
eredivisie,239999,Philippe Sandler,NEC Nijmegen,Center Defender,False,25,23,1869.3,0.337,0.0481,0.1444,0.5714,0.6109,espn_true_per90
eredivisie,217381,Calvin Verdonk,NEC Nijmegen,Center Left Defender,False,4,4,360.0,0.5,0.0,0.25,0.0,0.1176,espn_true_per90
eredivisie,332960,Brayann Pereira,NEC Nijmegen,Center Right Defender,False,24,13,1165.2,0.4635,0.0,0.0772,0.1667,0.3808,espn_true_per90
eredivisie,296510,Dirk Proper,NEC Nijmegen,Center Left Midfielder,False,22,8,1042.9,0.863,0.2589,0.0,0.4,0.3408,espn_true_per90
eredivisie,341715,Kodai Sano,NEC Nijmegen,Center Right Midfielder,False,34,34,3060.0,1.0,0.0882,0.2059,0.2647,1.0,espn_true_per90
eredivisie,337855,Basar Önal,NEC Nijmegen,Left Midfielder,False,29,25,2064.5,2.0925,0.3052,0.3052,0.4167,0.6747,espn_true_per90
eredivisie,346896,Sami Ouaissa,NEC Nijmegen,Right Midfielder,False,32,32,2638.4,2.115,0.2047,0.2047,0.3548,0.8622,espn_true_per90
eredivisie,238016,Koki Ogawa,NEC Nijmegen,Forward,False,26,17,1267.3,3.0539,0.5682,0.2131,0.4186,0.4141,espn_true_per90
eredivisie,122954,Bryan Linssen,NEC Nijmegen,Center Left Forward,False,32,31,2239.1,2.8136,0.4421,0.2814,0.4571,0.7317,espn_true_per90
eredivisie,116893,Tjaronn Chery,NEC Nijmegen,Center Right Forward,False,33,33,2754.3,3.4963,0.3268,0.1961,0.4206,0.9001,espn_true_per90
eredivisie,200194,Vito van Crooij,Sparta Rotterdam,Substitute,False,18,11,1000.8,1.5287,0.0899,0.0899,0.4118,0.3271,espn_true_per90
eredivisie,156836,Virgil Misidjan,NEC Nijmegen,Substitute,False,17,4,538.7,1.8377,0.1671,0.3341,0.3636,0.1761,espn_true_per90
eredivisie,282682,Roberto González,NEC Nijmegen,Substitute,False,3,1,82.9,1.086,0.0,0.0,0.0,0.0271,espn_true_per90
eredivisie,281525,Youssef El Kachati,NEC Nijmegen,Substitute,False,19,1,507.1,3.9043,0.5324,0.3549,0.3636,0.1657,espn_true_per90
eredivisie,196688,Stijn van Gassel,Excelsior,Goalkeeper,True,32,32,2819.6,0.0,0.0,0.0319,,0.9214,espn_true_per90
eredivisie,324740,Stan Hendrikx,Excelsior,Center Left Defender,False,10,5,528.1,0.6817,0.0,0.0,0.75,0.1726,espn_true_per90
eredivisie,303840,Casper Widell,Excelsior,Center Right Defender,False,34,34,3053.8,0.5305,0.0295,0.0295,0.2222,0.998,espn_true_per90
eredivisie,266190,Arthur Zagre,Excelsior,Left Back,False,30,27,2384.3,0.9814,0.151,0.0755,0.3462,0.7792,espn_true_per90
eredivisie,265723,Ilias Bronkhorst,Excelsior,Right Back,False,33,26,2349.5,0.498,0.0766,0.0,0.3077,0.7678,espn_true_per90
eredivisie,321341,Noah Naujoks,Excelsior,Attacking Midfielder,False,31,29,2326.5,2.4759,0.3869,0.0387,0.375,0.7603,espn_true_per90
eredivisie,389278,Stjin Middendorp,Excelsior,Left Midfielder,False,6,2,197.8,0.4551,0.0,0.0,0.0,0.0646,espn_true_per90
eredivisie,313971,Adam Carlén,Excelsior,Right Midfielder,False,25,12,1224.0,0.5883,0.0,0.0735,0.125,0.4,espn_true_per90
eredivisie,157478,Mike van Duinen,Excelsior,Forward,False,28,5,713.8,2.2695,0.1261,0.2522,0.2222,0.2333,espn_true_per90
eredivisie,332656,Gyan De Regt,Excelsior,Attacking Midfielder Left,False,34,31,2657.1,1.3887,0.1016,0.2371,0.3902,0.8683,espn_true_per90
eredivisie,304484,Sanches Fernandes,Excelsior,Attacking Midfielder Right,False,33,30,2491.5,2.1674,0.2167,0.1084,0.3333,0.8142,espn_true_per90
eredivisie,326258,Zach Booth,Excelsior,Substitute,False,3,1,105.4,0.8541,0.0,0.0,1.0,0.0344,espn_true_per90
eredivisie,371574,Yoon Do-Yong,Excelsior,Substitute,False,6,0,100.8,4.4625,0.8925,0.0,0.4,0.033,espn_true_per90
eredivisie,305597,Rick Meissen,Excelsior,Substitute,False,33,28,2511.9,0.43,0.0,0.1075,0.4167,0.8209,espn_true_per90
eredivisie,388592,Jerolldino Bergraaf,Excelsior,Substitute,False,24,10,1048.6,1.6308,0.0,0.0,0.1579,0.3427,espn_true_per90
eredivisie,182424,Timon Wellenreuther,Feyenoord Rotterdam,Goalkeeper,True,33,33,2970.0,0.0,0.0,0.0,,0.9706,espn_true_per90
eredivisie,276279,Tsuyoshi Watanabe,Feyenoord Rotterdam,Center Left Defender,False,30,30,2636.5,0.7851,0.0683,0.0,0.4348,0.8616,espn_true_per90
eredivisie,245857,Anel Ahmedhodzic,Feyenoord Rotterdam,Center Right Defender,False,26,26,2208.8,0.6112,0.0,0.0407,0.0667,0.7218,espn_true_per90
eredivisie,238878,Jordan Lotomba,Feyenoord Rotterdam,Left Back,False,20,8,921.4,0.3907,0.0,0.0977,0.5,0.3011,espn_true_per90
eredivisie,337084,Givairo Read,Feyenoord Rotterdam,Right Back,False,16,11,938.9,1.5337,0.0959,0.2876,0.1875,0.3068,espn_true_per90
eredivisie,277106,Sem Steijn,Feyenoord Rotterdam,Attacking Midfielder,False,21,12,1105.0,3.0949,0.5701,0.1629,0.4474,0.3611,espn_true_per90
eredivisie,319296,Luciano Valente,Feyenoord Rotterdam,Left Midfielder,False,32,30,2548.7,1.4478,0.0706,0.2472,0.3415,0.8329,espn_true_per90
eredivisie,313354,Oussama Targhaline,Feyenoord Rotterdam,Right Midfielder,False,25,21,1908.8,0.4244,0.0943,0.1886,0.3333,0.6238,espn_true_per90
eredivisie,274277,Ayase Ueda,Feyenoord Rotterdam,Forward,False,31,31,2527.1,3.6326,0.8904,0.0356,0.451,0.8258,espn_true_per90
eredivisie,402344,Gaoussou Diarra,Feyenoord Rotterdam,Attacking Midfielder Left,False,6,2,206.0,3.0581,0.0,0.0,0.4286,0.0673,espn_true_per90
eredivisie,341711,Anis Hadj Moussa,Feyenoord Rotterdam,Attacking Midfielder Right,False,30,30,2549.4,2.7183,0.3883,0.2118,0.4156,0.8331,espn_true_per90
eredivisie,215172,Bart Nieuwkoop,Feyenoord Rotterdam,Substitute,False,17,5,545.3,0.8252,0.165,0.0,0.4,0.1782,espn_true_per90
eredivisie,282230,Quinten Timber,Feyenoord Rotterdam,Substitute,False,17,14,1318.6,1.5698,0.1365,0.273,0.3478,0.4309,espn_true_per90
eredivisie,355487,Leo Sauer,Feyenoord Rotterdam,Substitute,False,20,17,1416.8,2.0962,0.1906,0.127,0.4242,0.463,espn_true_per90
eredivisie,306664,Casper Tengstedt,Feyenoord Rotterdam,Substitute,False,18,2,397.1,4.9861,0.6799,0.0,0.4091,0.1298,espn_true_per90
eredivisie,328541,Jordan Bos,Feyenoord Rotterdam,Substitute,False,28,24,2055.4,1.6639,0.1751,0.3065,0.3684,0.6717,espn_true_per90
eredivisie,275751,Daniel Bielica,NAC Breda,Goalkeeper,True,33,33,2970.0,0.0,0.0,0.0,,0.9706,espn_true_per90
eredivisie,159244,Terence Kongolo,NAC Breda,Center Left Defender,False,5,1,182.0,0.0,0.0,0.0,,0.0595,espn_true_per90
