league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
epl,2024,understat_12759,Yankuba Minteh,Brighton,D M S,1832.0,32,1.6703,0.2785,0.2393,0.2948,0.1965,1.3755,0.6361,False,understat
epl,2024,understat_672,Jordan Ayew,"Crystal Palace,Leicester",F M S,1688.0,31,1.7595,0.2315,0.1016,0.2666,0.0,0.9064,0.605,False,understat
epl,2024,understat_6174,Nikola Milenkovic,Nottingham Forest,D,3330.0,37,0.7838,0.1235,0.0282,0.1351,0.0541,0.2432,1.0,False,understat
epl,2024,understat_6456,Callum Hudson-Odoi,Nottingham Forest,F M S,2221.0,31,1.4993,0.1018,0.1194,0.2026,0.081,1.783,0.7961,False,understat
epl,2024,understat_6937,Georginio Rutter,Brighton,F M S,1679.0,28,2.6802,0.3043,0.1679,0.268,0.1608,1.0185,0.6663,False,understat
epl,2024,understat_7083,Christian Nørgaard,Brentford,M,2870.0,34,1.223,0.1811,0.0601,0.1568,0.1254,0.5645,0.9379,False,understat
epl,2024,understat_7134,Marc Cucurella,Chelsea,D S,3006.0,36,0.7186,0.0947,0.0541,0.1497,0.0299,0.5689,0.9278,False,understat
epl,2024,understat_8327,Bruno Guimarães,Newcastle United,M,3321.0,38,1.2195,0.1274,0.1783,0.1355,0.1626,1.4092,0.9711,False,understat
epl,2024,understat_8379,Alexis Mac Allister,Liverpool,M S,2621.0,35,1.3048,0.1225,0.168,0.1717,0.1717,1.5452,0.8321,False,understat
epl,2024,understat_9790,Josko Gvardiol,Manchester City,D S,3277.0,37,1.0986,0.1265,0.0567,0.1373,0.0,0.7141,0.9841,False,understat
epl,2024,understat_10720,Darwin Núñez,Liverpool,F S,1072.0,30,2.8545,0.5803,0.1463,0.4198,0.1679,0.9235,0.397,False,understat
epl,2024,understat_11269,Jack Hinshelwood,Brighton,D F M S,1857.0,26,0.8724,0.1577,0.0689,0.2423,0.0969,0.7754,0.7936,False,understat
epl,2024,understat_11362,Facundo Buonanotte,Leicester,F M S,1498.0,31,2.1629,0.262,0.2014,0.3004,0.1202,1.502,0.5369,False,understat
epl,2024,understat_12027,Mohammed Kudus,West Ham,F M S,2634.0,32,2.5626,0.2468,0.1275,0.1708,0.1025,1.0934,0.9146,False,understat
epl,2024,understat_76,Fabian Schär,Newcastle United,D S,2938.0,34,1.2253,0.1288,0.012,0.1225,0.0,0.1532,0.9601,False,understat
epl,2024,understat_87,Joelinton,Newcastle United,F M,2435.0,29,1.6632,0.1579,0.0921,0.1478,0.1109,0.8501,0.933,False,understat
epl,2024,understat_447,Kevin De Bruyne,Manchester City,F M S,1706.0,28,3.007,0.2925,0.4713,0.211,0.3693,3.007,0.677,False,understat
epl,2024,understat_2328,Thomas Partey,Arsenal,D M S,2810.0,35,0.8327,0.0766,0.0827,0.1281,0.0641,0.6406,0.8921,False,understat
epl,2024,understat_3635,Bernardo Silva,Manchester City,M S,2660.0,33,1.0827,0.1622,0.1692,0.1353,0.1353,1.7932,0.8956,False,understat
epl,2024,understat_5553,Declan Rice,Arsenal,M S,2848.0,35,1.5169,0.1146,0.2863,0.1264,0.2212,1.8645,0.9041,False,understat
epl,2024,understat_6026,Richarlison,Tottenham,F S,471.0,15,3.2484,0.8222,0.1575,0.7643,0.1911,0.7643,0.3489,False,understat
epl,2024,understat_6382,Pedro Neto,Chelsea,D F M S,2238.0,35,2.3727,0.1778,0.2641,0.1609,0.2413,1.8499,0.7105,False,understat
epl,2024,understat_6674,Rayan Ait Nouri,Wolverhampton Wanderers,D M,3180.0,37,1.0189,0.1022,0.1546,0.1132,0.1981,1.3019,0.955,False,understat
epl,2024,understat_6756,Dwight McNeil,Everton,M S,1374.0,21,1.5721,0.0991,0.3956,0.262,0.393,2.4236,0.727,False,understat
epl,2024,understat_6837,Ryan Sessegnon,Fulham,D M S,576.0,16,2.1875,0.3878,0.2053,0.625,0.3125,1.875,0.4,False,understat
epl,2024,understat_7365,Lucas Paquetá,West Ham,F M S,2398.0,33,1.5388,0.1927,0.1026,0.1501,0.0,1.3511,0.8074,False,understat
epl,2024,understat_7484,Stephy Mavididi,Leicester,M S,1586.0,30,1.4754,0.1925,0.1466,0.227,0.0567,1.2484,0.5874,False,understat
epl,2024,understat_7958,Sandro Tonali,Newcastle United,M S,2619.0,36,1.2027,0.1456,0.0749,0.1375,0.0687,0.9622,0.8083,False,understat
epl,2024,understat_11055,Rasmus Højlund,Manchester United,F S,2032.0,32,1.4173,0.2598,0.0949,0.1772,0.0,0.7087,0.7056,False,understat
epl,2024,understat_11132,Ethan Nwaneri,Arsenal,F M S,883.0,26,2.4462,0.181,0.1184,0.4077,0.2039,1.6308,0.3774,False,understat
epl,2024,understat_11360,Paul Onuachu,Southampton,F S,1015.0,25,3.0148,0.4333,0.0457,0.3547,0.0887,0.7094,0.4511,False,understat
epl,2024,understat_12408,Daniel Muñoz,Crystal Palace,D,3237.0,37,1.0287,0.161,0.1652,0.1112,0.139,1.2512,0.9721,False,understat
epl,2024,understat_12752,Sammie Szmodics,Ipswich,M S,1025.0,20,1.8439,0.3964,0.0171,0.3512,0.0,0.439,0.5694,False,understat
epl,2024,understat_592,Ross Barkley,Aston Villa,M S,507.0,20,2.8402,0.3836,0.1716,0.5325,0.1775,1.5976,0.2817,False,understat
epl,2024,understat_833,Virgil van Dijk,Liverpool,D,3330.0,37,0.7027,0.0763,0.0328,0.0811,0.027,0.3243,1.0,False,understat
epl,2024,understat_1653,Michael Keane,Everton,D S,1043.0,14,0.8629,0.0972,0.0107,0.2589,0.0,0.0863,0.8278,False,understat
epl,2024,understat_1726,Abdoulaye Doucouré,Everton,M S,2619.0,33,1.0653,0.1392,0.0797,0.1031,0.0687,0.9278,0.8818,False,understat
epl,2024,understat_1791,Trent Alexander-Arnold,Liverpool,D S,2405.0,33,1.684,0.0709,0.3015,0.1123,0.2245,1.9459,0.8098,False,understat
epl,2024,understat_2117,Marco Asensio,Aston Villa,M S,751.0,13,2.8762,0.546,0.1515,0.3595,0.1198,1.9174,0.6419,False,understat
epl,2024,understat_2199,Pablo Sarabia,Wolverhampton Wanderers,M S,788.0,23,1.9416,0.2487,0.2241,0.3426,0.2284,1.7132,0.3807,False,understat
epl,2024,understat_2517,Martin Odegaard,Arsenal,M S,2343.0,30,1.8822,0.2165,0.3016,0.1152,0.3073,2.42,0.8678,False,understat
epl,2024,understat_3300,Christopher Nkunku,Chelsea,F M S,878.0,27,2.5626,0.5154,0.2064,0.3075,0.205,1.4351,0.3613,False,understat
epl,2024,understat_5543,Gabriel Jesus,Arsenal,F S,581.0,17,3.0981,0.5228,0.0857,0.4647,0.0,1.2392,0.3797,False,understat
epl,2024,understat_5555,Dominic Calvert-Lewin,Everton,F S,1625.0,26,2.7692,0.4754,0.041,0.1662,0.0554,0.3877,0.6944,False,understat
epl,2024,understat_5613,Gabriel,Arsenal,D,2376.0,28,0.8333,0.1629,0.0463,0.1136,0.0379,0.4924,0.9429,False,understat
epl,2024,understat_5956,Youri Tielemans,Aston Villa,M S,3049.0,36,1.2102,0.1095,0.2374,0.0886,0.2066,1.7711,0.941,False,understat
epl,2024,understat_6098,Niclas Füllkrug,West Ham,F S,775.0,18,1.8581,0.2513,0.2419,0.3484,0.2323,1.6258,0.4784,False,understat
epl,2024,understat_6345,Jadon Sancho,Chelsea,M S,1760.0,31,1.2273,0.1236,0.2206,0.1534,0.2045,1.9943,0.6308,False,understat
