team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Carolina Hurricanes,8482093,2,Seth Jarvis,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.1908333333333332,0.07366666666666666,0.23366666666666666,0.30733333333333335,0.40449999999999997,0.0,450.6814814815069,1
Carolina Hurricanes,8473533,2,Jordan Staal,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.2168333333333332,0.08066666666666666,0.24083333333333332,0.3215,0.3248333333333333,0.0,450.6814814815069,1
Carolina Hurricanes,8476958,2,Jaccob Slavin,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.136,0.06633333333333333,0.22316666666666665,0.2895,0.8136666666666666,0.0,535.9037037037361,1
Carolina Hurricanes,8480817,2,K'Andre Miller,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.027,0.14566666666666667,0.1885,0.33416666666666667,0.5816666666666667,0.0,535.9037037037361,1
Montréal Canadiens,8480018,2,Nick Suzuki,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.1418333333333333,0.16816666666666666,0.12933333333333333,0.2975,0.5148333333333334,0.0,460.17037037039864,1
Montréal Canadiens,8483515,2,Juraj Slafkovský,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.2623333333333333,0.056999999999999995,0.17966666666666667,0.23666666666666666,0.4613333333333333,0.0,460.17037037039864,1
Montréal Canadiens,8481540,2,Cole Caufield,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.4588333333333332,0.14533333333333334,0.14633333333333332,0.29166666666666663,0.15783333333333333,0.0,460.17037037039864,1
Montréal Canadiens,8476875,2,Mike Matheson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.9565,0.04483333333333333,0.17233333333333334,0.21716666666666667,1.1183333333333334,0.0,568.3851851852055,1
Montréal Canadiens,8483457,2,Lane Hutson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8598333333333333,0.04533333333333333,0.1475,0.19283333333333333,0.44466666666666665,0.0,507.32592592596166,1
Carolina Hurricanes,8475883,2,Frederik Andersen,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.0,0.0,0.0,0.0,0.0,10.785225000000025,1199.9999999999998,1
Montréal Canadiens,8482487,2,Jakub Dobes,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.0,0.0,0.0,0.0,0.0,11.658458333333295,1199.9999999999998,1
Carolina Hurricanes,8480830,2,Andrei Svechnikov,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.995,0.06916666666666667,0.153,0.22216666666666668,0.20366666666666666,0.0,286.3703703703682,1
Carolina Hurricanes,8477940,2,Nikolaj Ehlers,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7276666666666667,0.082,0.135,0.21700000000000003,0.2718333333333333,0.0,286.3703703703682,1
