event_key,market,selection,current_line,current_price,open_line,open_price,line_move,price_move,latest_snapshot_ts
Atlanta Falcons @ Pittsburgh Steelers,spread,home,-3.0,,-3.0,,0.0,,2026-07-09T21:12:54Z
Atlanta Falcons @ Pittsburgh Steelers,total,over,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Atlanta Falcons @ Pittsburgh Steelers,total,under,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Atlanta Falcons,moneyline,away,,-225,,-225,,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Atlanta Falcons,moneyline,home,,185,,185,,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Atlanta Falcons,spread,home,4.5,,4.5,,0.0,,2026-07-09T21:12:54Z
Baltimore Ravens @ Atlanta Falcons,total,over,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Atlanta Falcons,total,under,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Dallas Cowboys,moneyline,away,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Dallas Cowboys,moneyline,home,,114,,114,,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Dallas Cowboys,spread,home,2.5,,2.5,,0.0,,2026-07-09T21:12:54Z
Baltimore Ravens @ Dallas Cowboys,total,over,51.5,-110,51.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Dallas Cowboys,total,under,51.5,-110,51.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Indianapolis Colts,moneyline,away,,-192,,-192,,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Indianapolis Colts,moneyline,home,,160,,160,,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Indianapolis Colts,spread,home,3.5,,3.5,,0.0,,2026-07-09T21:12:54Z
Baltimore Ravens @ Indianapolis Colts,total,over,49.5,-110,49.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Baltimore Ravens @ Indianapolis Colts,total,under,49.5,-110,49.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Houston Texans,moneyline,away,,-115,,-115,,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Houston Texans,moneyline,home,,-105,,-105,,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Houston Texans,spread,home,1.5,,1.5,,0.0,,2026-07-09T21:12:54Z
Buffalo Bills @ Houston Texans,total,over,45.5,-105,45.5,-105,0.0,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Houston Texans,total,under,45.5,-115,45.5,-115,0.0,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Los Angeles Rams,moneyline,away,,154,,154,,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Los Angeles Rams,moneyline,home,,-185,,-185,,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Los Angeles Rams,spread,home,-3.5,,-3.5,,0.0,,2026-07-09T21:12:54Z
Buffalo Bills @ Los Angeles Rams,total,over,53.5,-110,53.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Buffalo Bills @ Los Angeles Rams,total,under,53.5,-110,53.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Carolina Panthers @ Cleveland Browns,moneyline,away,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Carolina Panthers @ Cleveland Browns,moneyline,home,,114,,114,,0.0,2026-07-09T21:12:54Z
Carolina Panthers @ Cleveland Browns,spread,home,2.5,,2.5,,0.0,,2026-07-09T21:12:54Z
Carolina Panthers @ Cleveland Browns,total,over,40.5,-110,40.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Carolina Panthers @ Cleveland Browns,total,under,40.5,-110,40.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,moneyline,away,,-166,,-166,,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,moneyline,home,,140,,140,,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,spread,home,3.0,,3.0,,0.0,,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Atlanta Falcons,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,moneyline,away,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,moneyline,home,,114,,114,,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,spread,home,2.5,,2.5,,0.0,,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,total,over,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Chicago Bears @ Carolina Panthers,total,under,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,moneyline,away,,114,,114,,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,moneyline,home,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,total,over,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Houston Texans,total,under,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,moneyline,away,,-250,,-250,,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,moneyline,home,,205,,205,,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,spread,home,5.5,,5.5,,0.0,,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,total,over,49.5,-110,49.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Miami Dolphins,total,under,49.5,-110,49.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,moneyline,away,,-115,,-115,,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,moneyline,home,,-105,,-105,,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,spread,home,1.5,,1.5,,0.0,,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cincinnati Bengals @ Pittsburgh Steelers,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,moneyline,away,,270,,270,,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,moneyline,home,,-340,,-340,,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,spread,home,-7.5,,-7.5,,0.0,,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,total,over,40.5,-115,40.5,-115,0.0,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Jacksonville Jaguars,total,under,40.5,-105,40.5,-105,0.0,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,moneyline,away,,120,,120,,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,moneyline,home,,-142,,-142,,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,total,over,40.5,-110,40.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ New York Jets,total,under,40.5,-110,40.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,moneyline,away,,230,,230,,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,moneyline,home,,-285,,-285,,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,spread,home,-6.5,,-6.5,,0.0,,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,total,over,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Cleveland Browns @ Tampa Bay Buccaneers,total,under,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,moneyline,away,,114,,114,,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,moneyline,home,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ Houston Texans,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,moneyline,away,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,moneyline,home,,114,,114,,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,spread,home,2.5,,2.5,,0.0,,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,total,over,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Dallas Cowboys @ New York Giants,total,under,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,moneyline,away,,124,,124,,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,moneyline,home,,-148,,-148,,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,total,over,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Kansas City Chiefs,total,under,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,moneyline,away,,120,,120,,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,moneyline,home,,-142,,-142,,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,total,over,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Denver Broncos @ Los Angeles Chargers,total,under,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,moneyline,away,,124,,124,,0.0,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,moneyline,home,,-148,,-148,,0.0,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,total,over,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,total,under,46.5,-110,46.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,moneyline,away,,-375,,-375,,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,moneyline,home,,295,,295,,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,spread,home,8.5,,8.5,,0.0,,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,total,over,49.5,-110,49.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,total,under,49.5,-110,49.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,moneyline,away,,136,,136,,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,moneyline,home,,-162,,-162,,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,spread,home,-3.0,,-3.0,,0.0,,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,total,over,52.5,-110,52.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,total,under,52.5,-110,52.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,moneyline,away,,-162,,-162,,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,moneyline,home,,136,,136,,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,spread,home,3.0,,3.0,,0.0,,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,moneyline,away,,-112,,-112,,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,moneyline,home,,-108,,-108,,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,spread,home,1.5,,1.5,,0.0,,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,total,over,44.5,-115,44.5,-115,0.0,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,total,under,44.5,-105,44.5,-105,0.0,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,moneyline,away,,-270,,-270,,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,moneyline,home,,220,,220,,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,spread,home,6.0,,6.0,,0.0,,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,total,over,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,total,under,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,moneyline,away,,-130,,-130,,0.0,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,moneyline,home,,110,,110,,0.0,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,spread,home,2.5,,2.5,,0.0,,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,total,over,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,total,under,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,moneyline,away,,-115,,-115,,0.0,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,moneyline,home,,-105,,-105,,0.0,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,spread,home,1.5,,1.5,,0.0,,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,total,over,41.5,-110,41.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,total,under,41.5,-110,41.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,moneyline,away,,-192,,-192,,0.0,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,moneyline,home,,160,,160,,0.0,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,spread,home,3.5,,3.5,,0.0,,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,total,over,43.5,-110,43.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,total,under,43.5,-110,43.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,moneyline,away,,215,,215,,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,moneyline,home,,-265,,-265,,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,spread,home,-6.0,,-6.0,,0.0,,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,moneyline,away,,120,,120,,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,moneyline,home,,-142,,-142,,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,moneyline,away,,-108,,-108,,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,moneyline,home,,-112,,-112,,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,spread,home,-1.5,,-1.5,,0.0,,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,total,over,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,total,under,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,moneyline,away,,114,,114,,0.0,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,moneyline,home,,-135,,-135,,0.0,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,total,over,51.5,-110,51.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,total,under,51.5,-110,51.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,moneyline,away,,-245,,-245,,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,moneyline,home,,200,,200,,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,spread,home,5.5,,5.5,,0.0,,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,total,over,43.5,-110,43.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,total,under,43.5,-110,43.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,moneyline,away,,-340,,-340,,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,moneyline,home,,270,,270,,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,spread,home,7.0,,7.0,,0.0,,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,total,over,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,total,under,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,moneyline,away,,330,,330,,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,moneyline,home,,-425,,-425,,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,spread,home,-8.5,,-8.5,,0.0,,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,total,over,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,total,under,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,moneyline,away,,320,,320,,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,moneyline,home,,-410,,-410,,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,spread,home,-8.5,,-8.5,,0.0,,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,total,over,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,total,under,44.5,-110,44.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,moneyline,away,,136,,136,,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,moneyline,home,,-162,,-162,,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,spread,home,-3.0,,-3.0,,0.0,,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,total,over,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,total,under,42.5,-110,42.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,moneyline,away,,120,,120,,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,moneyline,home,,-142,,-142,,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,spread,home,-2.5,,-2.5,,0.0,,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,total,over,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Buffalo Bills,total,under,48.5,-110,48.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,moneyline,away,,136,,136,,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,moneyline,home,,-162,,-162,,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,spread,home,-3.0,,-3.0,,0.0,,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,total,over,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Chargers @ Seattle Seahawks,total,under,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,moneyline,away,,-155,,-155,,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,moneyline,home,,130,,130,,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,spread,home,3.0,,3.0,,0.0,,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,total,over,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Denver Broncos,total,under,45.5,-110,45.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,moneyline,away,,-142,,-142,,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,moneyline,home,,120,,120,,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,spread,home,2.5,,2.5,,0.0,,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,total,over,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Los Angeles Rams @ Philadelphia Eagles,total,under,47.5,-110,47.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,moneyline,away,,145,,145,,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,moneyline,home,,-175,,-175,,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,spread,home,-3.0,,-3.0,,0.0,,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,total,over,41.5,-110,41.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Las Vegas Raiders,total,under,41.5,-110,41.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,moneyline,away,,300,,300,,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,moneyline,home,,-380,,-380,,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,spread,home,-7.5,,-7.5,,0.0,,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,total,over,43.5,-110,43.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ Minnesota Vikings,total,under,43.5,-110,43.5,-110,0.0,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,moneyline,away,,440,,440,,0.0,2026-07-09T21:12:54Z
Miami Dolphins @ San Francisco 49ers,moneyline,home,,-600,,-600,,0.0,2026-07-09T21:12:54Z
