event_key,market,selection,line,price,snapshot_ts
Denver Broncos @ San Francisco 49ers,total,over,46.5,-110,2026-07-09T21:12:54Z
Denver Broncos @ San Francisco 49ers,total,under,46.5,-110,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,moneyline,away,,-375,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,moneyline,home,,295,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,spread,home,8.5,,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,total,over,49.5,-110,2026-07-09T21:12:54Z
Detroit Lions @ Arizona Cardinals,total,under,49.5,-110,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,moneyline,away,,136,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,moneyline,home,,-162,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,spread,home,-3.0,,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,total,over,52.5,-110,2026-07-09T21:12:54Z
Detroit Lions @ Buffalo Bills,total,under,52.5,-110,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,moneyline,away,,-162,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,moneyline,home,,136,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,spread,home,3.0,,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,total,over,47.5,-110,2026-07-09T21:12:54Z
Detroit Lions @ Carolina Panthers,total,under,47.5,-110,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,moneyline,away,,-112,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,moneyline,home,,-108,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,spread,home,1.5,,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,total,over,44.5,-115,2026-07-09T21:12:54Z
Green Bay Packers @ Minnesota Vikings,total,under,44.5,-105,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,moneyline,away,,-270,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,moneyline,home,,220,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,spread,home,6.0,,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,total,over,42.5,-110,2026-07-09T21:12:54Z
Green Bay Packers @ New York Jets,total,under,42.5,-110,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,moneyline,away,,-130,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,moneyline,home,,110,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,spread,home,2.5,,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,total,over,45.5,-110,2026-07-09T21:12:54Z
Houston Texans @ Indianapolis Colts,total,under,45.5,-110,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,moneyline,away,,-115,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,moneyline,home,,-105,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,spread,home,1.5,,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,total,over,41.5,-110,2026-07-09T21:12:54Z
Houston Texans @ Jacksonville Jaguars,total,under,41.5,-110,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,moneyline,away,,-192,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,moneyline,home,,160,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,spread,home,3.5,,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,total,over,43.5,-110,2026-07-09T21:12:54Z
Houston Texans @ Tennessee Titans,total,under,43.5,-110,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,moneyline,away,,215,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,moneyline,home,,-265,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,spread,home,-6.0,,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,total,over,47.5,-110,2026-07-09T21:12:54Z
Indianapolis Colts @ Kansas City Chiefs,total,under,47.5,-110,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,moneyline,away,,120,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,moneyline,home,,-142,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,spread,home,-2.5,,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,total,over,47.5,-110,2026-07-09T21:12:54Z
Indianapolis Colts @ Pittsburgh Steelers,total,under,47.5,-110,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,moneyline,away,,-108,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,moneyline,home,,-112,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,spread,home,-1.5,,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,total,over,48.5,-110,2026-07-09T21:12:54Z
Indianapolis Colts @ Washington Commanders,total,under,48.5,-110,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,moneyline,away,,114,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,moneyline,home,,-135,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,spread,home,-2.5,,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,total,over,51.5,-110,2026-07-09T21:12:54Z
Jacksonville Jaguars @ Cincinnati Bengals,total,under,51.5,-110,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,moneyline,away,,-245,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,moneyline,home,,200,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,spread,home,5.5,,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,total,over,43.5,-110,2026-07-09T21:12:54Z
Kansas City Chiefs @ Las Vegas Raiders,total,under,43.5,-110,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,moneyline,away,,-340,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,moneyline,home,,270,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,spread,home,7.0,,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,total,over,44.5,-110,2026-07-09T21:12:54Z
Kansas City Chiefs @ Miami Dolphins,total,under,44.5,-110,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,moneyline,away,,330,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,moneyline,home,,-425,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,spread,home,-8.5,,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,total,over,42.5,-110,2026-07-09T21:12:54Z
Las Vegas Raiders @ Los Angeles Chargers,total,under,42.5,-110,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,moneyline,away,,320,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,moneyline,home,,-410,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,spread,home,-8.5,,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,total,over,44.5,-110,2026-07-09T21:12:54Z
Las Vegas Raiders @ New England Patriots,total,under,44.5,-110,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,moneyline,away,,136,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,moneyline,home,,-162,2026-07-09T21:12:54Z
Las Vegas Raiders @ New Orleans Saints,spread,home,-3.0,,2026-07-09T21:12:54Z
