team,season,offensive_plays,offensive_drives,offensive_seconds,seconds_per_play,plays_per_drive
Gardner-Webb,2025,873,152,21461,24.583,5.7434
Georgetown,2025,854,148,22914,26.8314,5.7703
Georgia,2025,939,141,26472,28.1917,6.6596
Georgia Southern,2025,847,142,20963,24.7497,5.9648
Georgia State,2025,839,139,21239,25.3147,6.036
Georgia Tech,2025,815,130,20815,25.5399,6.2692
Grambling,2025,786,148,21460,27.3028,5.3108
Hampton,2025,780,134,20744,26.5949,5.8209
Harvard,2025,759,123,20020,26.3768,6.1707
Hawai'i,2025,869,142,22958,26.4189,6.1197
Holy Cross,2025,769,144,21050,27.3732,5.3403
Houston,2025,852,142,22163,26.0129,6.0
Houston Christian,2025,730,137,17119,23.4507,5.3285
Howard,2025,702,131,20478,29.1709,5.3588
Idaho,2025,812,134,22578,27.8054,6.0597
Idaho State,2025,843,138,19213,22.7912,6.1087
Illinois,2025,778,127,21880,28.1234,6.126
Illinois State,2025,1012,170,26195,25.8844,5.9529
Incarnate Word,2025,866,135,20803,24.0219,6.4148
Indiana,2025,885,145,25967,29.3412,6.1034
Indiana State,2025,663,144,15506,23.3876,4.6042
Iowa,2025,758,125,22505,29.69,6.064
Iowa State,2025,842,132,22467,26.6829,6.3788
Jackson State,2025,830,133,21620,26.0482,6.2406
Jacksonville State,2025,926,153,23377,25.2451,6.0523
James Madison,2025,914,160,26110,28.5667,5.7125
Kansas,2025,797,132,21896,27.473,6.0379
Kansas State,2025,765,139,20753,27.1281,5.5036
Kennesaw State,2025,910,151,21952,24.1231,6.0265
Kent State,2025,697,143,19651,28.1937,4.8741
Kentucky,2025,812,139,21964,27.0493,5.8417
LSU,2025,799,140,22239,27.8335,5.7071
Lafayette,2025,803,143,21135,26.32,5.6154
Lamar,2025,789,139,21478,27.2218,5.6763
Lehigh,2025,763,131,23275,30.5046,5.8244
Liberty,2025,784,128,20665,26.3584,6.125
Lincoln (CA),2025,201,40,6712,33.393,5.025
Lindenwood,2025,760,140,21233,27.9382,5.4286
Long Island University,2025,701,127,19411,27.6904,5.5197
Louisiana,2025,781,136,21236,27.1908,5.7426
Louisiana Tech,2025,796,138,21403,26.8882,5.7681
Louisville,2025,799,149,21761,27.2353,5.3624
Maine,2025,760,131,21973,28.9118,5.8015
Marist,2025,748,143,22283,29.7901,5.2308
Marshall,2025,813,146,20687,25.4453,5.5685
Maryland,2025,819,141,19250,23.5043,5.8085
Massachusetts,2025,764,134,18728,24.5131,5.7015
McNeese,2025,824,140,22238,26.9879,5.8857
Memphis,2025,824,137,22516,27.3252,6.0146
Mercer,2025,879,156,23283,26.4881,5.6346
Mercyhurst,2025,687,105,19426,28.2766,6.5429
Merrimack,2025,776,125,21542,27.7603,6.208
Miami,2025,822,132,24216,29.4599,6.2273
Miami (OH),2025,823,150,22871,27.7898,5.4867
Michigan,2025,782,134,21173,27.0754,5.8358
Michigan State,2025,751,130,21029,28.0013,5.7769
Middle Tennessee,2025,802,143,20078,25.0349,5.6084
Minnesota,2025,735,130,20879,28.4068,5.6538
Mississippi State,2025,879,149,20916,23.7952,5.8993
Mississippi Valley State,2025,670,126,17199,25.6701,5.3175
Missouri,2025,871,137,23320,26.7738,6.3577
Missouri State,2025,763,138,21020,27.5491,5.529
Monmouth,2025,924,138,20926,22.6472,6.6957
Montana,2025,926,162,23516,25.3952,5.716
Montana State,2025,848,137,23395,27.5884,6.1898
Morehead State,2025,734,131,20806,28.346,5.6031
Morgan State,2025,718,134,21409,29.8175,5.3582
Murray State,2025,775,128,18809,24.2697,6.0547
NC State,2025,788,138,21637,27.4581,5.7101
Navy,2025,773,122,23279,30.1151,6.3361
Nebraska,2025,783,130,21796,27.8365,6.0231
Nevada,2025,747,135,21577,28.8849,5.5333
New Hampshire,2025,865,133,25684,29.6925,6.5038
New Haven,2025,587,119,15377,26.1959,4.9328
New Mexico,2025,754,128,21261,28.1976,5.8906
New Mexico State,2025,842,150,21438,25.4608,5.6133
Nicholls,2025,791,136,22400,28.3186,5.8162
Norfolk State,2025,736,138,18772,25.5054,5.3333
North Alabama,2025,904,160,22418,24.7987,5.65
North Carolina,2025,719,128,20385,28.3519,5.6172
North Carolina A&T,2025,753,147,20969,27.8473,5.1224
North Carolina Central,2025,831,144,21719,26.136,5.7708
North Dakota,2025,976,176,24768,25.377,5.5455
North Dakota State,2025,848,150,25088,29.5849,5.6533
North Texas,2025,895,148,22435,25.067,6.0473
Northern Arizona,2025,758,128,21079,27.8087,5.9219
Northern Colorado,2025,775,135,19919,25.7019,5.7407
Northern Illinois,2025,755,133,20783,27.5272,5.6767
Northern Iowa,2025,748,129,22212,29.6952,5.7984
Northwestern,2025,809,120,23494,29.0408,6.7417
Northwestern State,2025,689,141,19976,28.9927,4.8865
Notre Dame,2025,761,137,20955,27.5361,5.5547
Ohio,2025,806,132,22728,28.1985,6.1061
Ohio State,2025,843,127,26073,30.9288,6.6378
Oklahoma,2025,816,147,21190,25.9681,5.551
Oklahoma State,2025,801,142,20584,25.6979,5.6408
Old Dominion,2025,824,152,20028,24.3058,5.4211
Ole Miss,2025,924,139,21350,23.1061,6.6475
Oregon,2025,783,125,21714,27.7318,6.264
Oregon State,2025,828,143,23052,27.8406,5.7902
Penn State,2025,731,117,20573,28.1436,6.2479
Pennsylvania,2025,672,103,18022,26.8185,6.5243
Pittsburgh,2025,837,153,20427,24.405,5.4706
Portland State,2025,789,149,21637,27.4233,5.2953
Prairie View A&M,2025,780,131,22350,28.6538,5.9542
Presbyterian,2025,788,140,21069,26.7373,5.6286
Princeton,2025,687,108,17803,25.9141,6.3611
Purdue,2025,798,128,20031,25.1015,6.2344
Rhode Island,2025,922,162,24313,26.3698,5.6914
Rice,2025,753,126,21834,28.996,5.9762
Richmond,2025,792,144,22210,28.0429,5.5
Robert Morris,2025,639,122,18017,28.1956,5.2377
Rutgers,2025,892,126,24141,27.0639,7.0794
SE Louisiana,2025,847,153,25029,29.5502,5.5359
SMU,2025,792,147,18754,23.6793,5.3878
Sacramento State,2025,807,139,21067,26.1053,5.8058
Sacred Heart,2025,651,110,18592,28.5591,5.9182
Saint Francis,2025,682,124,20882,30.6188,5.5
Sam Houston,2025,778,146,19913,25.5951,5.3288
Samford,2025,809,155,18559,22.9407,5.2194
San Diego,2025,802,145,21619,26.9564,5.531
San Diego State,2025,764,139,21606,28.2801,5.4964
San José State,2025,835,145,19840,23.7605,5.7586
South Alabama,2025,852,136,23500,27.5822,6.2647
South Carolina,2025,769,137,20033,26.0507,5.6131
South Carolina State,2025,878,149,22988,26.1822,5.8926
South Dakota,2025,865,143,26016,30.0763,6.049
South Dakota State,2025,844,133,22953,27.1955,6.3459
South Florida,2025,856,149,17982,21.007,5.745
Southeast Missouri State,2025,891,162,21160,23.7486,5.5
Southern,2025,699,128,18753,26.8283,5.4609
Southern Illinois,2025,800,134,20584,25.73,5.9701
Southern Miss,2025,834,146,19353,23.205,5.7123
Southern Utah,2025,741,118,20887,28.1876,6.2797
St. Thomas (MN),2025,791,142,21307,26.9368,5.5704
Stanford,2025,807,138,21362,26.4709,5.8478
Stephen F. Austin,2025,980,165,23532,24.0122,5.9394
Stetson,2025,829,151,22506,27.1484,5.4901
Stonehill,2025,715,125,20077,28.0797,5.72
Stony Brook,2025,941,150,21710,23.0712,6.2733
Syracuse,2025,856,150,21743,25.4007,5.7067
TCU,2025,842,139,20665,24.5428,6.0576
Tarleton State,2025,987,183,26327,26.6738,5.3934
Temple,2025,719,125,20603,28.6551,5.752
Tennessee,2025,889,140,19641,22.0934,6.35
Tennessee State,2025,756,150,21476,28.4074,5.04
Tennessee Tech,2025,780,147,20113,25.7859,5.3061
Texas,2025,776,141,20038,25.8222,5.5035
Texas A&M,2025,850,152,22986,27.0424,5.5921
Texas Southern,2025,633,106,16946,26.7709,5.9717
Texas State,2025,848,132,20451,24.1167,6.4242
Texas Tech,2025,997,171,23620,23.6911,5.8304
The Citadel,2025,599,105,18047,30.1285,5.7048
Toledo,2025,812,148,21572,26.5665,5.4865
Towson,2025,648,113,16870,26.034,5.7345
Troy,2025,873,156,23150,26.5178,5.5962
Tulane,2025,897,150,23896,26.6399,5.98
Tulsa,2025,898,144,20035,22.3107,6.2361
UAB,2025,832,129,21933,26.3618,6.4496
UAlbany,2025,710,126,18937,26.6718,5.6349
UC Davis,2025,886,158,22176,25.0293,5.6076
UCF,2025,810,138,21363,26.3741,5.8696
UCLA,2025,754,121,20276,26.8912,6.2314
UConn,2025,823,142,20880,25.3706,5.7958
UL Monroe,2025,739,141,21242,28.7442,5.2411
UNLV,2025,853,143,23153,27.143,5.965
USC,2025,794,125,21185,26.6814,6.352
UT Martin,2025,800,133,24827,31.0338,6.015
UT Rio Grande Valley,2025,805,130,18119,22.5081,6.1923
UTEP,2025,790,158,17945,22.7152,5.0
UTSA,2025,820,146,22245,27.128,5.6164
Utah,2025,890,136,22104,24.836,6.5441
Utah State,2025,821,151,19751,24.0572,5.4371
Utah Tech,2025,811,137,20275,25.0,5.9197
VMI,2025,753,156,20105,26.6999,4.8269
Valparaiso,2025,639,133,18772,29.3772,4.8045
Vanderbilt,2025,753,126,22523,29.911,5.9762
Villanova,2025,844,138,24250,28.7322,6.1159
Virginia,2025,956,152,24497,25.6245,6.2895
Virginia Tech,2025,771,131,20525,26.6213,5.8855
Wagner,2025,767,145,22450,29.2699,5.2897
Wake Forest,2025,813,154,20709,25.4723,5.2792
Washington,2025,772,122,20822,26.9715,6.3279
Washington State,2025,775,135,23060,29.7548,5.7407
Weber State,2025,775,153,21245,27.4129,5.0654
West Georgia,2025,798,130,20467,25.6479,6.1385
West Virginia,2025,849,155,18867,22.2226,5.4774
Western Carolina,2025,842,145,18284,21.715,5.8069
Western Illinois,2025,766,142,19391,25.3146,5.3944
Western Kentucky,2025,848,147,20930,24.6816,5.7687
Western Michigan,2025,856,141,24524,28.6495,6.0709
William & Mary,2025,799,132,20946,26.2153,6.053
Wisconsin,2025,691,124,21432,31.0159,5.5726
Wofford,2025,651,132,18017,27.6759,4.9318
Wyoming,2025,779,140,20662,26.5237,5.5643
Yale,2025,841,137,21623,25.7111,6.1387
Youngstown State,2025,825,132,22232,26.9479,6.25
