date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,expected_value,edge_pct,model_probability,market_probability
2026-06-10,2026-06-10T23:45:29.884074+00:00,2566106,Dearica Hamby,LAS,pts,OVER,14.5,-113,0.5305164319248826,0.6473542721449438,0.8274539380998751,0.11683784022006116,0.22023415899887633,draftkings,DraftKings,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.22023415899887633,11.683784022006115,0.6473542721449438,0.5305164319248826
2026-06-10,2026-06-10T23:45:29.884074+00:00,3906753,Natisha Hiedeman,SEA,pts,OVER,12.5,-120,0.5454545454545454,0.6653138551643412,0.8673641225874247,0.11985930970979575,0.21974206780129213,fanduel,FanDuel,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.21974206780129213,11.985930970979574,0.6653138551643412,0.5454545454545454
2026-06-10,2026-06-10T23:45:29.884074+00:00,3146151,Ariel Atkins,LAS,pts,UNDER,10.5,-126,0.5575221238938053,0.6754592982316787,0.8899095516259526,0.11793717433787343,0.2115381063520586,draftkings,DraftKings,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.2115381063520586,11.793717433787343,0.6754592982316787,0.5575221238938053
2026-06-10,2026-06-10T23:45:29.884074+00:00,2566106,Dearica Hamby,LAS,pts,OVER,14.5,-115,0.5348837209302325,0.6473542721449438,0.8274539380998751,0.11247055121471128,0.21027103053185137,fanduel,FanDuel,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.21027103053185137,11.247055121471128,0.6473542721449438,0.5348837209302325
2026-06-10,2026-06-10T23:45:29.884074+00:00,3906753,Natisha Hiedeman,SEA,pts,OVER,12.5,-124,0.5535714285714286,0.6653138551643412,0.8673641225874247,0.11174242659291256,0.20185728674848724,williamhill_us,Caesars,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.20185728674848724,11.174242659291256,0.6653138551643412,0.5535714285714286
2026-06-10,2026-06-10T23:45:29.884074+00:00,3065570,Kelsey Plum,LAS,pts,OVER,20.5,-125,0.5555555555555556,0.6629779027325972,0.8621731171835493,0.10742234717704158,0.19336022491867488,betrivers,BetRivers,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.19336022491867488,10.742234717704157,0.6629779027325972,0.5555555555555556
2026-06-10,2026-06-10T23:45:29.884074+00:00,3906753,Natisha Hiedeman,SEA,pts,OVER,12.5,-126,0.5575221238938053,0.6653138551643412,0.8673641225874247,0.10779173127053587,0.1933407243423897,draftkings,DraftKings,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.1933407243423897,10.779173127053587,0.6653138551643412,0.5575221238938053
2026-06-10,2026-06-10T23:45:29.884074+00:00,4398966,Olivia Nelson-Ododa,CON,pts,UNDER,8.5,-115,0.5348837209302325,0.6359684370266825,0.8021520822815166,0.10108471609644998,0.18898446922379764,draftkings,DraftKings,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.18898446922379764,10.108471609644997,0.6359684370266825,0.5348837209302325
2026-06-10,2026-06-10T23:45:29.884074+00:00,3146151,Ariel Atkins,LAS,pts,UNDER,10.5,-132,0.5689655172413793,0.6754592982316787,0.8899095516259526,0.10649378099029938,0.18717088780113234,fanduel,FanDuel,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.18717088780113234,10.649378099029938,0.6754592982316787,0.5689655172413793
2026-06-10,2026-06-10T23:45:29.884074+00:00,3904576,Marina Mabrey,TOR,pts,UNDER,18.5,100,0.5,0.5919793765828851,0.7043986146286336,0.09197937658288513,0.18395875316577026,fanduel,FanDuel,2026-06-10T23:03:44Z,Toronto Tempo,Connecticut Sun,0.18395875316577026,9.197937658288513,0.5919793765828851,0.5
2026-06-10,2026-06-10T23:45:29.884074+00:00,4698736,Flau'jae Johnson,SEA,pts,OVER,12.5,117,0.4608294930875576,0.544894332893734,0.5997651842082978,0.0840648398061764,0.18242070237940278,betrivers,BetRivers,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.18242070237940278,8.40648398061764,0.544894332893734,0.4608294930875576
2026-06-10,2026-06-10T23:45:29.884074+00:00,2491214,Erica Wheeler,LAS,pts,UNDER,8.5,-129,0.5633187772925764,0.6655655782842755,0.8679235072983901,0.10224680099169914,0.181507887031776,williamhill_us,Caesars,2026-06-11T02:00:00Z,Seattle Storm,Los Angeles Sparks,0.181507887031776,10.224680099169914,0.6655655782842755,0.5633187772925764
