player_name,market,selection,line,price,snapshot_ts
ernie clement,batter_hits_runs_rbis,under,1.5,-185,2026-07-12T01:58:17Z
ernie clement,batter_hits_runs_rbis,under,1.5,-150,2026-07-12T02:47:20Z
ernie clement,batter_home_runs,over,0.5,1300,2026-07-12T01:58:17Z
ernie clement,batter_home_runs,over,0.5,+2400,2026-07-12T02:47:20Z
ernie clement,batter_rbis,over,0.5,400,2026-07-12T01:58:17Z
ernie clement,batter_rbis,under,0.5,-650,2026-07-12T01:58:17Z
ernie clement,batter_runs_scored,over,0.5,225,2026-07-12T01:58:17Z
ernie clement,batter_runs_scored,under,0.5,-330,2026-07-12T01:58:17Z
ernie clement,batter_total_bases,over,0.5,-150,2026-07-12T01:58:17Z
ernie clement,batter_total_bases,over,1.5,+120,2026-07-12T02:47:20Z
ernie clement,batter_total_bases,under,0.5,110,2026-07-12T01:58:17Z
ernie clement,batter_total_bases,under,1.5,-170,2026-07-12T02:47:20Z
fernando tatis jr.,batter_hits,over,0.5,-135,2026-07-12T01:58:17Z
fernando tatis jr.,batter_hits,over,0.5,+240,2026-07-12T02:47:20Z
fernando tatis jr.,batter_hits,under,0.5,100,2026-07-12T01:58:17Z
fernando tatis jr.,batter_hits,under,0.5,-340,2026-07-12T02:47:20Z
fernando tatis jr.,batter_hits_runs_rbis,over,2.5,108,2026-07-12T01:58:17Z
fernando tatis jr.,batter_hits_runs_rbis,over,1.5,+182,2026-07-12T02:47:20Z
fernando tatis jr.,batter_hits_runs_rbis,under,2.5,-145,2026-07-12T01:58:17Z
fernando tatis jr.,batter_hits_runs_rbis,under,1.5,-250,2026-07-12T02:47:20Z
fernando tatis jr.,batter_home_runs,over,0.5,575,2026-07-12T01:58:17Z
fernando tatis jr.,batter_home_runs,over,0.5,+1300,2026-07-12T02:47:20Z
fernando tatis jr.,batter_rbis,over,0.5,165,2026-07-12T01:58:17Z
fernando tatis jr.,batter_rbis,over,0.5,+650,2026-07-12T02:47:20Z
fernando tatis jr.,batter_rbis,under,0.5,-225,2026-07-12T01:58:17Z
fernando tatis jr.,batter_rbis,under,0.5,-1200,2026-07-12T02:47:20Z
fernando tatis jr.,batter_runs_scored,over,1.5,165,2026-07-12T01:58:17Z
fernando tatis jr.,batter_runs_scored,over,1.5,+475,2026-07-12T02:47:20Z
fernando tatis jr.,batter_runs_scored,under,1.5,-225,2026-07-12T01:58:17Z
fernando tatis jr.,batter_runs_scored,under,1.5,-800,2026-07-12T02:47:20Z
fernando tatis jr.,batter_total_bases,over,0.5,-135,2026-07-12T01:58:17Z
fernando tatis jr.,batter_total_bases,under,0.5,100,2026-07-12T01:58:17Z
freddie freeman,batter_hits,over,0.5,-160,2026-07-12T01:58:17Z
freddie freeman,batter_hits,over,0.5,+110,2026-07-12T02:47:20Z
freddie freeman,batter_hits,under,0.5,120,2026-07-12T01:58:17Z
freddie freeman,batter_hits,under,0.5,-145,2026-07-12T02:47:20Z
freddie freeman,batter_hits_runs_rbis,over,1.5,114,2026-07-12T01:58:17Z
freddie freeman,batter_hits_runs_rbis,over,0.5,-117,2026-07-12T02:47:20Z
freddie freeman,batter_hits_runs_rbis,under,1.5,-152,2026-07-12T01:58:17Z
freddie freeman,batter_hits_runs_rbis,under,0.5,-114,2026-07-12T02:47:20Z
freddie freeman,batter_home_runs,over,0.5,500,2026-07-12T01:58:17Z
freddie freeman,batter_home_runs,over,0.5,+750,2026-07-12T02:47:20Z
freddie freeman,batter_rbis,over,0.5,240,2026-07-12T01:58:17Z
freddie freeman,batter_rbis,over,0.5,+300,2026-07-12T02:47:20Z
freddie freeman,batter_rbis,under,0.5,-350,2026-07-12T01:58:17Z
freddie freeman,batter_rbis,under,0.5,-475,2026-07-12T02:47:20Z
freddie freeman,batter_runs_scored,over,0.5,160,2026-07-12T01:58:17Z
freddie freeman,batter_runs_scored,over,0.5,+240,2026-07-12T02:47:20Z
freddie freeman,batter_runs_scored,under,0.5,-225,2026-07-12T01:58:17Z
freddie freeman,batter_runs_scored,under,0.5,-350,2026-07-12T02:47:20Z
freddie freeman,batter_total_bases,over,0.5,-159,2026-07-12T01:58:17Z
freddie freeman,batter_total_bases,under,0.5,119,2026-07-12T01:58:17Z
gabriel moreno,batter_hits,over,0.5,145,2026-07-12T01:58:17Z
gabriel moreno,batter_hits,over,1.5,+260,2026-07-12T02:47:20Z
gabriel moreno,batter_hits,under,0.5,-195,2026-07-12T01:58:17Z
gabriel moreno,batter_hits,under,1.5,-370,2026-07-12T02:47:20Z
gabriel moreno,batter_hits_runs_rbis,over,3.5,+215,2026-07-12T02:47:20Z
gabriel moreno,batter_hits_runs_rbis,under,3.5,-295,2026-07-12T02:47:20Z
gabriel moreno,batter_home_runs,over,0.5,1150,2026-07-12T01:58:17Z
gabriel moreno,batter_home_runs,over,0.5,+2600,2026-07-12T02:47:20Z
gabriel moreno,batter_rbis,over,0.5,500,2026-07-12T01:58:17Z
gabriel moreno,batter_rbis,over,0.5,+650,2026-07-12T02:47:20Z
gabriel moreno,batter_rbis,under,0.5,-900,2026-07-12T01:58:17Z
gabriel moreno,batter_rbis,under,0.5,-1200,2026-07-12T02:47:20Z
gabriel moreno,batter_runs_scored,over,2.5,+650,2026-07-12T02:47:20Z
gabriel moreno,batter_runs_scored,under,2.5,-1100,2026-07-12T02:47:20Z
gabriel moreno,batter_total_bases,over,0.5,130,2026-07-12T01:58:17Z
gabriel moreno,batter_total_bases,over,1.5,+260,2026-07-12T02:47:20Z
gabriel moreno,batter_total_bases,under,0.5,-175,2026-07-12T01:58:17Z
gabriel moreno,batter_total_bases,under,1.5,-370,2026-07-12T02:47:20Z
gavin sheets,batter_hits,over,0.5,110,2026-07-12T01:58:17Z
gavin sheets,batter_hits,under,0.5,-145,2026-07-12T01:58:17Z
gavin sheets,batter_hits_runs_rbis,over,1.5,-117,2026-07-12T01:58:17Z
gavin sheets,batter_hits_runs_rbis,under,1.5,-114,2026-07-12T01:58:17Z
gavin sheets,batter_home_runs,over,0.5,850,2026-07-12T01:58:17Z
gavin sheets,batter_home_runs,over,0.5,+1300,2026-07-12T02:47:20Z
gavin sheets,batter_rbis,over,1.5,330,2026-07-12T01:58:17Z
gavin sheets,batter_rbis,under,1.5,-500,2026-07-12T01:58:17Z
gavin sheets,batter_runs_scored,over,0.5,235,2026-07-12T01:58:17Z
gavin sheets,batter_runs_scored,under,0.5,-340,2026-07-12T01:58:17Z
george springer,batter_hits,over,0.5,100,2026-07-12T01:58:17Z
george springer,batter_hits,over,0.5,+165,2026-07-12T02:47:20Z
george springer,batter_hits,under,0.5,-140,2026-07-12T01:58:17Z
george springer,batter_hits,under,0.5,-225,2026-07-12T02:47:20Z
george springer,batter_hits_runs_rbis,over,0.5,-129,2026-07-12T01:58:17Z
george springer,batter_hits_runs_rbis,over,0.5,+154,2026-07-12T02:47:20Z
george springer,batter_hits_runs_rbis,under,0.5,-104,2026-07-12T01:58:17Z
