date,player_id,player_name,team,home_team,away_team,market,market_type,entity,line,over_price,under_price,book,first_seen_at,last_seen_at,is_current,market_id,_merge_key
2026-06-11,,Sean Walker,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,sean_walker,0.5,259,-379,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:sean_walker:0.5,name::sean walker
2026-06-11,,Sean Walker,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,sean_walker,1.5,-130,-102,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:sean_walker:1.5,name::sean walker
2026-06-11,,Sebastian Aho,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,sebastian_aho,0.5,-102,-129,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:sebastian_aho:0.5,name::sebastian aho
2026-06-11,,Sebastian Aho,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,sebastian_aho,0.5,270,-400,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:sebastian_aho:0.5,name::sebastian aho
2026-06-11,,Sebastian Aho,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,sebastian_aho,0.5,-173,129,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:sebastian_aho:0.5,name::sebastian aho
2026-06-11,,Sebastian Aho,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,sebastian_aho,2.5,109,-144,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:sebastian_aho:2.5,name::sebastian aho
2026-06-11,,Seth Jarvis,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,seth_jarvis,0.5,137,-184,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:seth_jarvis:0.5,name::seth jarvis
2026-06-11,,Seth Jarvis,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,seth_jarvis,0.5,230,-320,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:seth_jarvis:0.5,name::seth jarvis
2026-06-11,,Seth Jarvis,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,seth_jarvis,0.5,-164,123,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:seth_jarvis:0.5,name::seth jarvis
2026-06-11,,Seth Jarvis,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,seth_jarvis,2.5,-116,-114,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:seth_jarvis:2.5,name::seth jarvis
2026-06-11,,Shayne Gostisbehere,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,shayne_gostisbehere,0.5,157,-214,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:shayne_gostisbehere:0.5,name::shayne gostisbehere
2026-06-11,,Shayne Gostisbehere,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,shayne_gostisbehere,0.5,103,-136,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:shayne_gostisbehere:0.5,name::shayne gostisbehere
2026-06-11,,Shayne Gostisbehere,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,shayne_gostisbehere,1.5,-109,-122,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:shayne_gostisbehere:1.5,name::shayne gostisbehere
2026-06-11,,Shea Theodore,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,shea_theodore,0.5,134,-179,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:shea_theodore:0.5,name::shea theodore
2026-06-11,,Shea Theodore,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,shea_theodore,0.5,-102,-130,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:shea_theodore:0.5,name::shea theodore
2026-06-11,,Shea Theodore,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,shea_theodore,1.5,102,-135,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:shea_theodore:1.5,name::shea theodore
2026-06-11,,Taylor Hall,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,taylor_hall,0.5,151,-204,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:taylor_hall:0.5,name::taylor hall
2026-06-11,,Taylor Hall,,Carolina Hurricanes,Vegas Golden Knights,GOALS,goals,taylor_hall,0.5,270,-400,fanduel,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:goals:taylor_hall:0.5,name::taylor hall
2026-06-11,,Taylor Hall,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,taylor_hall,0.5,-126,-105,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:taylor_hall:0.5,name::taylor hall
2026-06-11,,Taylor Hall,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,taylor_hall,2.5,113,-150,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:taylor_hall:2.5,name::taylor hall
2026-06-11,,Tomas Hertl,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,tomas_hertl,0.5,225,-320,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:tomas_hertl:0.5,name::tomas hertl
2026-06-11,,Tomas Hertl,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,tomas_hertl,0.5,120,-160,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:tomas_hertl:0.5,name::tomas hertl
2026-06-11,,Tomas Hertl,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,tomas_hertl,1.5,-110,-120,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:tomas_hertl:1.5,name::tomas hertl
2026-06-11,,William Karlsson,,Carolina Hurricanes,Vegas Golden Knights,ASSISTS,assists,william_karlsson,0.5,206,-289,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:assists:william_karlsson:0.5,name::william karlsson
2026-06-11,,William Karlsson,,Carolina Hurricanes,Vegas Golden Knights,POINTS,points,william_karlsson,0.5,119,-159,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:points:william_karlsson:0.5,name::william karlsson
2026-06-11,,William Karlsson,,Carolina Hurricanes,Vegas Golden Knights,SOG,sog,william_karlsson,1.5,-137,103,pinnacle,2026-06-11T22:19:35Z,2026-06-11T22:19:35Z,True,NHL:2026-06-11:VGK@CAR:sog:william_karlsson:1.5,name::william karlsson
