team,player_id,player,market,value,sim_idx,game_home,game_away,date,period
Carolina Hurricanes,0,TEAM,GOALS,2.0,18,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,5.0,18,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,3.0,18,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,0.0,18,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,18,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,6.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,2.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,4.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,2.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,1.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,1.0,19,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,3.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,1.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,1.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,4.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,1.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,3.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,0.0,20,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,5.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,0.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,3.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,7.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,1.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,4.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,2.0,21,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,10.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,2.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,5.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Carolina Hurricanes,0,TEAM,GOALS,3.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Vegas Golden Knights,0,TEAM,GOALS,6.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Vegas Golden Knights,0,TEAM,GOALS,1.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Vegas Golden Knights,0,TEAM,GOALS,2.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
Vegas Golden Knights,0,TEAM,GOALS,3.0,22,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,3
Carolina Hurricanes,0,TEAM,GOALS,4.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,0
Carolina Hurricanes,0,TEAM,GOALS,1.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,1
Carolina Hurricanes,0,TEAM,GOALS,2.0,23,Carolina Hurricanes,Vegas Golden Knights,2026-06-11,2
