player_name,team,player_id
JALEN SUGGS,ORL,1630591
JALEN WILLIAMS,OKC,1631114
JAMAL CAIN,ORL,1631288
JAMAL MURRAY,DEN,1627750
JAMAL SHEAD,TOR,1642347
JAMAREE BOUYEA,PHX,1631123
JAMES HARDEN,CLE,201935
JAMISON BATTLE,TOR,1642419
JARED MCCAIN,OKC,1642272
JARRED VANDERBILT,LAL,1629020
JARRETT ALLEN,CLE,1628386
JASE RICHARDSON,ORL,1642859
JAVONTE GREEN,DET,1629750
JAXSON HAYES,LAL,1629637
JAYLEN BROWN,BOS,1627759
JAYLEN CLARK,MIN,1641740
JAYLIN WILLIAMS,OKC,1631119
JAYLON TYSON,CLE,1642281
JAYSON TATUM,BOS,1628369
JD DAVISON,HOU,1631120
JEFF GREEN,HOU,201145
JERAMI GRANT,POR,203924
JEREMY SOCHAN,NYK,1631110
JETT HOWARD,ORL,1641724
JEVON CARTER,ORL,1628975
JOAN BERINGER,MIN,1642866
JOE INGLES,MIN,204060
JOEL EMBIID,PHI,203954
JOHNI BROOME,PHI,1641780
JONAS VALANCIUNAS,DEN,202685
JONATHAN KUMINGA,ATL,1630228
JONATHAN MOGBO,TOR,1642367
JORDAN CLARKSON,NYK,203903
JORDAN MCLAUGHLIN,SAS,1629162
JORDAN WALSH,BOS,1641775
JOSE ALVARADO,NYK,1630631
JOSH HART,NYK,1628404
JOSH OKOGIE,HOU,1629006
JRUE HOLIDAY,POR,201950
JULIAN CHAMPAGNIE,SAS,1630577
JULIAN PHILLIPS,MIN,1641763
JULIAN STRAWTHER,DEN,1631124
JULIUS RANDLE,MIN,203944
JUSTIN EDWARDS,PHI,1642348
KARL-ANTHONY TOWNS,NYK,1626157
KEATON WALLACE,ATL,1630811
KELDON JOHNSON,SAS,1629640
KELLY OLYNYK,SAS,203482
KELLY OUBRE JR.,PHI,1626162
KENRICH WILLIAMS,OKC,1629026
KEON ELLIS,CLE,1631165
KEVIN DURANT,HOU,201142
KEVIN HUERTER,DET,1628989
KEVIN MCCULLAR JR.,NYK,1641755
KHAMAN MALUACH,PHX,1642863
KRIS MURRAY,POR,1631200
KYLE ANDERSON,MIN,203937
KYLE LOWRY,PHI,200768
LANDRY SHAMET,NYK,1629013
LARRY NANCE JR.,CLE,1626204
LEBRON JAMES,LAL,2544
LINDY WATERS III,SAS,1630322
LUGUENTZ DORT,OKC,1629652
LUKA GARZA,BOS,1630568
LUKE KENNARD,LAL,1628379
LUKE KORNET,SAS,1628436
MARCUS SASSER,DET,1631204
MARCUS SMART,LAL,203935
MARJON BEAUCHAMP,PHI,1630699
MASON PLUMLEE,SAS,203486
MATISSE THYBULLE,POR,1629680
MAX SHULGA,BOS,1642917
MAX STRUS,CLE,1629622
MAXI KLEBER,LAL,1628467
MIKAL BRIDGES,NYK,1628969
MIKE CONLEY,MIN,201144
MILES MCBRIDE,NYK,1630540
MITCHELL ROBINSON,NYK,1629011
MOHAMED DIAWARA,NYK,1642885
MORITZ WAGNER,ORL,1629021
MOUHAMED GUEYE,ATL,1631243
NAE'QWAN TOMLIN,CLE,1641772
NAZ REID,MIN,1629675
NEEMIAS QUETA,BOS,1629674
NICK SMITH JR.,LAL,1641733
NICKEIL ALEXANDER-WALKER,ATL,1629638
NIKOLA JOKIC,DEN,203999
NIKOLA TOPIC,OKC,1642260
NIKOLA VUCEVIC,BOS,202696
NOAH PENDA,ORL,1642869
OG ANUNOBY,NYK,1628384
OLIVIER SARR,CLE,1630846
ONYEKA OKONGWU,ATL,1630168
OSO IGHODARO,PHX,1642345
PACOME DADIET,NYK,1642359
PAOLO BANCHERO,ORL,1631094
PAUL GEORGE,PHI,202331
PAUL REED,DET,1630194
PAYTON PRITCHARD,BOS,1630202
QUENTIN GRIMES,PHI,1629656
RASHEER FLEMING,PHX,1642853
REED SHEPPARD,HOU,1642263
RILEY MINIX,CLE,1642434
RJ BARRETT,TOR,1629628
ROBERT WILLIAMS III,POR,1629057
RON HARPER JR.,BOS,1631199
RONALD HOLLAND II,DET,1641842
ROYCE O'NEALE,PHX,1626220
RUDY GOBERT,MIN,203497
RUI HACHIMURA,LAL,1629060
RYAN DUNN,PHX,1642346
SAM HAUSER,BOS,1630573
SAM MERRILL,CLE,1630241
SANDRO MAMUKELASHVILI,TOR,1630572
SCOOT HENDERSON,POR,1630703
SCOTTIE BARNES,TOR,1630567
SHAEDON SHARPE,POR,1631101
SHAI GILGEOUS-ALEXANDER,OKC,1628983
SIDY CISSOKO,POR,1631321
SPENCER JONES,DEN,1642461
STEPHON CASTLE,SAS,1642264
TARI EASON,HOU,1631106
TERRENCE SHANNON JR.,MIN,1630545
THOMAS BRYANT,CLE,1628418
TIM HARDAWAY JR.,DEN,203501
TOBIAS HARRIS,DET,202699
TOLU SMITH,DET,1642449
TONY BRADLEY,ATL,1628396
TOUMANI CAMARA,POR,1641739
TRAYCE JACKSON-DAVIS,TOR,1631218
TRENDON WATFORD,PHI,1630570
TREY JEMISON III,NYK,1641998
TRISTAN DA SILVA,ORL,1641783
TYLER KOLEK,NYK,1642278
TYRESE MARTIN,PHI,1631213
TYRESE MAXEY,PHI,1630178
TYRESE PROCTOR,CLE,1642878
TYUS JONES,DEN,1626145
VICTOR WEMBANYAMA,SAS,1641705
VIT KREJCI,POR,1630249
VJ EDGECOMBE,PHI,1642845
WENDELL CARTER JR.,ORL,1628976
WENDELL MOORE JR.,DET,1631111
YANG HANSEN,POR,1642905
ZACCHARIE RISACHER,ATL,1642258
ZEKE NNAJI,DEN,1630192
ZYON PULLIN,MIN,1642389
AARON NESMITH,IND,1630174
ACE BAILEY,UTA,1642846
AJ GREEN,MIL,1631260
AJ JOHNSON,DAL,1642358
AL HORFORD,GSW,201143
ALEX ANTETOKOUNMPO,MIL,1630828
ALEX MORALES,ORL,1631457
ALEX SARR,WAS,1642259
ALIJAH MARTIN,TOR,1642918
ALONDES WILLIAMS,WAS,1631214
ANDRE JACKSON JR.,MIL,1641748
ANDREW NEMBHARD,IND,1629614
ANDREW WIGGINS,MIA,203952
ANFERNEE SIMONS,CHI,1629014
ANTHONY DAVIS,DAL,203076
ANTHONY GILL,WAS,1630264
ANTONIO REEVES,CHA,1641810
BAM ADEBAYO,MIA,1628389
BEN SARAF,BKN,1642879
BEN SHEPPARD,IND,1641767
BENNEDICT MATHURIN,LAC,1631097
BEZ MBENG,UTA,1643016
BILAL COULIBALY,WAS,1641731
BLAKE HINSON,UTA,1642396
BOBBY PORTIS,MIL,1626171
BOBI KLINTMAN,DET,1641752
BOGDAN BOGDANOVIĆ,LAC,203992
BRADLEY BEAL,LAC,203078
BRANDEN CARLSON,OKC,1642382
BRANDIN PODZIEMSKI,GSW,1641764
BRANDON CLARKE,MEM,1629634
BRANDON MILLER,CHA,1641706
BRANDON WILLIAMS,DAL,1630314
BRICE SENSABAUGH,UTA,1641729
BROOK LOPEZ,LAC,201572
BROOKS BARNHIZER,OKC,1642964
BRYCE MCGOWENS,NOP,1631121
BUB CARRINGTON,WAS,1642267
BUDDY BOEHEIM,OKC,1631205
CALEB HOUSTAN,ATL,1631216
CALEB LOVE,POR,1631126
CALEB MARTIN,DAL,1628997
CAM CHRISTIE,LAC,1642353
CAM SPENCER,MEM,1642285
CAM THOMAS,MIL,1630560
CAM WHITMORE,WAS,1641715
CAMERON PAYNE,PHI,1626166
CEDRIC COWARD,MEM,1642907
CHANEY JOHNSON,BKN,1643052
CHARLES BASSEY,GSW,1629646
CHRIS BOUCHER,BOS,1628449
CHRIS LIVINGSTON,CLE,1641753
CHRIS MAÑON,LAL,1643024
CHRIS PAUL,LAC,101108
CHRIS YOUNGBLOOD,POR,1642959
CHRISTIAN KOLOKO,ATL,1631132
CHUCKY HEPBURN,TOR,1642935
CJ HUNTLEY,PHX,1643047
COBY WHITE,CHA,1629632
CODY MARTIN,IND,1628998
CODY WILLIAMS,UTA,1642262
COLBY JONES,DET,1641732
COLE ANTHONY,MIL,1630175
COLIN CASTLETON,ORL,1630658
COLLIN SEXTON,CHI,1629012
COOPER FLAGG,DAL,1642843
CORMAC RYAN,MIL,1642504
CURTIS JONES,DEN,1642938
D'ANGELO RUSSELL,DAL,1626156
DAEQWON PLOWDEN,SAC,1631342
DANIEL GAFFORD,DAL,1629655
DANNY WOLF,BKN,1642874
DAQUAN JEFFRIES,SAC,1629610
DARIO SARIC,SAC,203967
DARIQ WHITEHEAD,MEM,1641727
DARIUS GARLAND,LAC,1629636
DAVID JONES GARCIA,SAS,1642357
DAVID RODDY,DEN,1631223
DAVION MITCHELL,MIA,1630558
DAY'RON SHARPE,BKN,1630549
DE'ANDRE HUNTER,SAC,1629631
DE'ANTHONY MELTON,GSW,1629001
DEANDRE JORDAN,NOP,201599
DEJON JARREAU,MEM,1630610
DEJOUNTE MURRAY,NOP,1627749
DEMAR DEROZAN,SAC,201942
DENNIS SCHRÖDER,CLE,203471
DERECK LIVELY II,DAL,1641726
DERIK QUEEN,NOP,1642852
DERRICK JONES JR.,LAC,1627884
DEVIN CARTER,SAC,1642269
DOMANTAS SABONIS,SAC,1627734
DOUG MCDERMOTT,SAC,203926
DRAKE POWELL,BKN,1642962
DRAYMOND GREEN,GSW,203110
DREW EUBANKS,SAC,1629234
DREW PETERSON,CHA,1641809
DREW TIMME,LAL,1631166
DRU SMITH,MIA,1630696
DUOP REATH,POR,1641871
DWIGHT POWELL,DAL,203939
DYLAN CARDWELL,SAC,1642928
E.J. LIDDELL,BKN,1630604
EGOR DËMIN,BKN,1642856
ELIJAH HARKLESS,UTA,1641989
EMANUEL MILLER,CHI,1641801
ENRIQUE FREEMAN,MIN,1642402
ERIC GORDON,PHI,201569
ETHAN THOMPSON,IND,1630679
GARRISON MATHEWS,IND,1629726
GARY HARRIS,MIL,203914
GARY PAYTON II,GSW,1627780
GARY TRENT JR.,MIL,1629018
GG JACKSON,MEM,1641713
GIANNIS ANTETOKOUNMPO,MIL,203507
GRANT WILLIAMS,CHA,1629684
GUERSCHON YABUSELE,CHI,1627824
GUI SANTOS,GSW,1630611
HARRISON INGRAM,SAS,1631127
HAYDEN GRAY,UTA,1643060
HERBERT JONES,NOP,1630529
HUGO GONZÁLEZ,BOS,1642864
HUNTER DICKINSON,NOP,1630621
HUNTER SALLIS,PHI,1642282
HUNTER TYSON,DEN,1641816
IMMANUEL QUICKLEY,TOR,1630193
ISAAC OKORO,CHI,1630171
ISAIAH COLLIER,UTA,1642268
ISAIAH CRAWFORD,HOU,1642384
ISAIAH JACKSON,LAC,1630543
ISAIAH LIVERS,PHX,1630587
ISAIAH STEVENS,SAC,1641815
IVICA ZUBAC,IND,1627826
JA MORANT,MEM,1629630
JACOB TOPPIN,ATL,1631210
JADEN HARDY,WAS,1630702
JADEN IVEY,CHI,1631093
JAHMAI MASHACK,MEM,1642942
JAHMIR YOUNG,MIA,1642443
JAHMYL TELFORT,LAC,1643141
JAIME JAQUEZ JR.,MIA,1631170
JALEN SLAWSON,IND,1641771
JALEN SMITH,CHI,1630188
JALEN WILSON,BKN,1630592
JAMES WISEMAN,IND,1630164
JAMIR WATKINS,WAS,1642364
JARACE WALKER,IND,1641716
JAREN JACKSON JR.,UTA,1628991
JAVON SMALL,MEM,1642914
JAVONTE COOKE,POR,1631451
JAY HUFF,IND,1630643
JAYLEN WELLS,MEM,1642377
JAYSON KENT,POR,1643257
JEREMIAH FEARS,NOP,1642847
JEREMIAH ROBINSON-EARL,DAL,1630526
JERICHO SIMS,MIL,1630579
JIMMY BUTLER III,GSW,202710
JOCK LANDALE,ATL,1629111
JOHN COLLINS,LAC,1628381
JOHN KONCHAR,UTA,1629723
JOHN POULAKIDAS,DAL,1642967
JOHN TONJE,BOS,1642910
JOHNNY FURPHY,IND,1642277
JOHNNY JUZANG,MIN,1630548
JONAS VALANČIŪNAS,DEN,202685
JONATHAN ISAAC,ORL,1628371
JORDAN GOODWIN,PHX,1630692
JORDAN HAWKINS,NOP,1641722
JORDAN MILLER,LAC,1641757
JORDAN POOLE,NOP,1629673
JOSH GIDDEY,CHI,1630581
JOSH GREEN,CHA,1630182
JOSH MINOTT,BKN,1631169
JOSH ODURO,NOP,1642490
JULIAN REESE,WAS,1642882
JUSTIN CHAMPAGNIE,WAS,1630551
JUSUF NURKIĆ,UTA,203994
KAM JONES,IND,1642880
KARLO MATKOVIĆ,NOP,1631255
KASPARAS JAKUČIONIS,MIA,1642857
KAWHI LEONARD,LAC,202695
KEEGAN MURRAY,SAC,1631099
KEL'EL WARE,MIA,1642276
KENNEDY CHANDLER,UTA,1631113
KENTAVIOUS CALDWELL-POPE,MEM,203484
KESHAD JOHNSON,MIA,1642352
KESHON GILBERT,ATL,1642933
KEVIN LOVE,UTA,201567
KEVIN PORTER JR.,MIL,1629645
KEVON LOONEY,NOP,1626172
KEYONTE GEORGE,UTA,1641718
KHRIS MIDDLETON,DAL,203114
KILLIAN HAYES,SAC,1630165
KJ SIMPSON,DEN,1642354
KLAY THOMPSON,DAL,202691
KOBE BROWN,IND,1641738
KOBE BUFKIN,LAL,1641723
KOBE SANDERS,LAC,1642920
KOBY BREA,PHX,1642886
KON KNUEPPEL,CHA,1642851
KRIS DUNN,LAC,1627739
KRISTAPS PORZIŅĢIS,GSW,204001
KYLE FILIPOWSKI,UTA,1642271
KYLE KUZMA,MIL,1628398
KYSHAWN GEORGE,WAS,1642273
LACHLAN OLBRICH,CHI,1642950
LAMELO BALL,CHA,1630163
LAURI MARKKANEN,UTA,1628374
LEAKY BLACK,WAS,1641778
LEONARD MILLER,CHI,1631159
LIAM MCNEELEY,CHA,1642862
LJ CRYER,GSW,1643018
LONZO BALL,CLE,1628366
LUKA DONČIĆ,LAL,1629029
LUKE TRAVERS,CLE,1631247
MAC MCCLUNG,CHI,1630644
MALACHI SMITH,BKN,1641869
MALAKI BRANHAM,WAS,1631103
MALEVY LEONS,GSW,1642502
MALIK MONK,SAC,1628370
MARK SEARS,MIL,1641813
MARK WILLIAMS,PHX,1631109
MARKELLE FULTZ,TOR,1628365
MARVIN BAGLEY III,DAL,1628963
MATAS BUZELIS,CHI,1641824
MAX CHRISTIE,DAL,1631108
MAXIME RAYNAUD,SAC,1642875
MICAH PEAVY,NOP,1642877
MICAH POTTER,IND,1630695
MICHAEL PORTER JR.,BKN,1629008
MILES BRIDGES,CHA,1628970
MILES KELLY,DAL,1642939
MO BAMBA,UTA,1628964
MONTE MORRIS,IND,1628420
MOSES MOODY,GSW,1630541
MOUHAMADOU GUEYE,CHI,1631338
MOUSSA CISSE,DAL,1630619
MOUSSA DIABATÉ,CHA,1631217
MYLES TURNER,MIL,1626167
MYRON GARDNER,MIA,1642066
N'FALY DANTE,ATL,1642368
NAJI MARSHALL,DAL,1630230
NATE WILLIAMS,GSW,1631466
NIC CLAXTON,BKN,1629651
NICK RICHARDS,CHI,1630208
NICOLAS BATUM,LAC,201587
NIGEL HAYES-DAVIS,PHX,1628502
NIKOLA JOKIĆ,DEN,203999
NIKOLA JOVIĆ,MIA,1631107
NIKOLA TOPIĆ,OKC,1642260
NIKOLA VUČEVIĆ,BOS,202696
NIQUE CLIFFORD,SAC,1642363
NOA ESSENGUE,CHI,1642855
NOAH CLOWNEY,BKN,1641730
NOLAN TRAORE,BKN,1642849
NORCHAD OMIER,LAC,1641807
NORMAN POWELL,MIA,1626181
OBI TOPPIN,IND,1630167
OCHAI AGBAJI,BKN,1630534
OLIVIER-MAXENCE PROSPER,MEM,1641765
OMER YURTSEVEN,GSW,1630209
ORLANDO ROBINSON,ORL,1631115
OSCAR TSHIEBWE,UTA,1631131
OUSMANE DIENG,MIL,1631172
P.J. WASHINGTON,DAL,1629023
PACÔME DADIET,NYK,1642359
PASCAL SIAKAM,IND,1627783
PAT CONNAUGHTON,CHA,1626192
PAT SPENCER,GSW,1630311
PATRICK BALDWIN JR.,SAC,1631116
PATRICK WILLIAMS,CHI,1630172
PAYTON SANDFORT,OKC,1642362
PELLE LARSSON,MIA,1641796
PETE NANCE,MIL,1631250
PEYTON WATSON,DEN,1631212
PJ HALL,CHA,1641790
PRECIOUS ACHIUWA,SAC,1630173
QUENTON JACKSON,IND,1631245
QUINTEN POST,GSW,1642366
RAYAN RUPERT,MEM,1641712
RAYJ DENNIS,ATL,1642484
ROB DILLINGHAM,CHI,1642265
ROCCO ZIKARSKY,MIN,1642911
RUSSELL WESTBROOK,SAC,201566
RYAN KALKBRENNER,CHA,1641750
RYAN NEMBHARD,DAL,1642948
RYAN ROLLINS,MIL,1631157
SADDIQ BEY,NOP,1630180
SANTI ALDAMA,MEM,1630583
SCOTTY PIPPEN JR.,MEM,1630590
SEAN PEDULLA,LAC,1642951
SETH CURRY,GSW,203552
SHARIFE COOPER,WAS,1630536
SIMONE FONTECCHIO,MIA,1631323
SION JAMES,CHA,1642883
SKAL LABISSIERE,WAS,1627746
STANLEY UMUDE,SAS,1630649
STEPHEN CURRY,GSW,201939
STEVEN ADAMS,HOU,203500
SVI MYKHAILIUK,UTA,1629004
T.J. MCCONNELL,IND,204456
TAELON PETER,IND,1643007
TAJ GIBSON,MEM,201959
TAUREAN PRINCE,MIL,1627752
TAYLOR HENDRICKS,MEM,1641707
TERANCE MANN,BKN,1629611
THANASIS ANTETOKOUNMPO,MIL,203648
TIDJANE SALAÜN,CHA,1642275
TOSAN EVBUOMWAN,NYK,1641787
TRAE YOUNG,WAS,1629027
TRE JOHNSON,WAS,1642848
TRE JONES,CHI,1630200
TRE MANN,CHA,1630544
TRENTYN FLOWERS,CHI,1642280
TREVON SCOTT,BKN,1630286
TREVOR KEELS,MIA,1631211
TREY ALEXANDER,NOP,1641725
TREY MURPHY III,NOP,1630530
TRISTAN ENARUNA,CLE,1642400
TRISTAN VUKCEVIC,WAS,1641774
TRISTEN NEWTON,HOU,1641803
TY JEROME,MEM,1629660
TYLER HERRO,MIA,1629639
TYLER SMITH,DAL,1641890
TYSON ETIENNE,BKN,1630623
TYTY WASHINGTON JR.,LAC,1631102
VINCE WILLIAMS JR.,UTA,1631246
VLADISLAV GOLDIN,MIA,1642884
VÍT KREJČÍ,POR,1630249
WALKER KESSLER,UTA,1631117
WALTER CLAYTON JR.,MEM,1642383
WILL RICHARD,GSW,1642954
WILL RILEY,WAS,1642860
XAVIER TILLMAN,CHA,1630214
YANIC KONAN NIEDERHÄUSER,LAC,1642949
YUKI KAWAMURA,CHI,1642530
YVES MISSI,NOP,1642274
ZACH COLLINS,CHI,1628380
ZACH EDEY,MEM,1641744
ZACH LAVINE,SAC,203897
ZIAIRE WILLIAMS,BKN,1630533
ZION WILLIAMSON,NOP,1629627
